sujeto ,time ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
2,"2,25","10,822926","1,229308","3,53353","1,269673","0,571786","1,954418","0,731998","2,259797","0,777729","0,38023","2,987228","4,00825","3,075008","0,977341","0,409209","2,471478","1,638006","2,371944","0,787944","0,40803","15,39431","1,596684","4,10452","1,480139","0,398308"
2,"2,375","8,021646","1,001643","3,525978","1,198641","0,494216","1,628836","0,611801","2,001864","0,693056","0,332419","2,971232","3,908094","3,352034","0,887354","0,406413","2,474907","1,488971","2,022106","0,811294","0,35283","11,778822","1,201643","3,669274","1,409737","0,401649"
2,"2,5","5,333125","0,818906","3,271949","1,125178","0,444159","1,270083","0,49982","1,742409","0,628275","0,289212","2,769258","3,412435","3,409332","0,819387","0,399009","2,455976","1,403134","1,716654","0,838103","0,311156","7,8957","0,883207","3,13303","1,327457","0,406361"
2,"2,625","3,214809","0,714314","2,806886","1,000577","0,427349","0,948701","0,403001","1,551669","0,609336","0,263357","2,435914","2,664249","3,185323","0,778408","0,382333","2,391748","1,38866","1,483621","0,847924","0,285796","4,618909","0,724518","2,562504","1,215741","0,408752"
2,"2,75","2,038735","0,678385","2,232643","0,832337","0,431967","0,727028","0,323781","1,443919","0,64118","0,257251","2,148818","1,899561","2,730778","0,772578","0,354332","2,266933","1,41617","1,293357","0,832771","0,272836","2,684401","0,765776","2,019708","1,076954","0,405409"
2,"2,875","1,445735","0,679071","1,699658","0,674846","0,440779","0,606687","0,265191","1,388437","0,706821","0,265562","2,044618","1,332739","2,184811","0,807236","0,317955","2,064924","1,483831","1,107818","0,799768","0,266807","1,837799","0,961155","1,565335","0,933225","0,399252"
2,3,"1,299166","0,714467","1,376238","0,595036","0,442244","0,571861","0,232368","1,359504","0,779148","0,280246","2,206465","1,063184","1,693508","0,877657","0,280503","1,771516","1,638671","0,929827","0,762677","0,266532","1,741329","1,246936","1,261","0,810808","0,39716"
2,"3,125","1,129606","0,787464","1,364664","0,626815","0,43461","0,596106","0,230275","1,378763","0,836797","0,295842","2,517101","1,054889","1,361875","0,963295","0,249932","1,428873","1,943076","0,807679","0,728091","0,273619","1,629169","1,56259","1,160128","0,730744","0,405972"
2,"3,25","1,01389","0,91759","1,641373","0,751507","0,42065","0,639944","0,266338","1,468942","0,863327","0,313067","2,825982","1,196165","1,214739","1,031707","0,232464","1,104116","2,399623","0,790284","0,695906","0,285699","1,566702","1,880028","1,269516","0,699813","0,4274"
2,"3,375","1,007308","1,146959","2,056003","0,913812","0,404158","0,732932","0,336094","1,613657","0,849194","0,338344","3,05552","1,367124","1,209226","1,055097","0,232528","0,834681","2,918474","0,874423","0,659995","0,296802","1,496647","2,208989","1,520507","0,709251","0,456879"
