sujeto ,tiempo ,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
1,"6,25","8,304209","1,975162","2,912423","0,608811","0,459542","1,194611","0,655025","0,816382","0,453443","0,317762","2,438535","3,075474","2,904785","0,947861","0,383003","5,228165","2,414427","2,924237","1,314398","0,987355","6,720393","3,089155","1,831526","0,408488","0,46824"
1,"6,375","7,852839","1,949391","2,35728","0,594224","0,468032","1,190478","0,585706","0,799759","0,433178","0,31566","2,407831","3,591151","2,762813","0,855582","0,408309","6,146677","2,132861","2,350857","1,290139","1,0015","6,13546","2,416802","1,506431","0,418492","0,491255"
1,"6,5","7,33866","1,985061","1,793136","0,595519","0,496147","1,168576","0,528949","0,785621","0,412493","0,322277","2,423431","4,344872","2,730303","0,722531","0,425195","7,451345","2,03533","1,89953","1,187333","0,970234","5,434298","2,155399","1,22529","0,464411","0,510089"
1,"6,625","7,869253","2,112424","1,415014","0,614159","0,538652","1,122114","0,502677","0,778376","0,401351","0,334717","2,488973","5,124199","2,765006","0,583472","0,434415","9,034078","2,212078","1,648617","1,046156","0,897039","5,861796","2,402141","1,085706","0,543545","0,519096"
1,"6,75","11,429795","2,445375","1,348306","0,652482","0,578222","1,06793","0,531929","0,773801","0,406491","0,344886","2,666591","5,697364","2,767278","0,475838","0,434833","10,677121","2,614639","1,534807","0,920238","0,792192","8,796813","3,173444","1,12272","0,651805","0,514474"
1,"6,875","18,610743","3,083804","1,591568","0,708828","0,596208","1,03306","0,643932","0,77077","0,428784","0,344266","3,017795","5,907263","2,644728","0,425125","0,425231","12,051277","3,096869","1,451398","0,847471","0,673132","14,551982","4,378203","1,325495","0,778458","0,495972"
1,7,"28,342026","4,068152","2,016618","0,773782","0,582714","1,042669","0,839233","0,763163","0,461752","0,329329","3,547867","5,735057","2,368635","0,434482","0,406512","12,742305","3,484453","1,30628","0,831046","0,562356","22,027939","5,827816","1,640201","0,900589","0,468044"
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"0,125","11,630297","8,701614","2,67764","1,150091","0,445152","2,96265","2,79081","0,240179","0,760277","0,235552","7,338734","44,245426","3,750243","1,968695","0,330271","6,705241","2,339919","1,913097","1,078841","0,284618","9,042294","7,682767","2,136834","1,959122","0,5018"
2,"0,25","10,819407","10,568569","2,46322","1,193428","0,458078","2,862807","3,769724","0,277126","0,69064","0,268227","7,178423","61,263363","4,442056","1,969979","0,33926","6,925405","2,313041","1,666176","1,051045","0,280513","9,360358","10,00964","1,661496","1,833598","0,500488"
2,"0,375","9,766237","13,174578","2,210373","1,317554","0,517485","2,74524","4,657837","0,348326","0,606533","0,290152","6,961815","82,43615","5,434695","2,195224","0,361035","6,7774","2,400043","1,371042","1,11372","0,283432","9,434474","13,584368","1,350078","1,736782","0,497658"
2,"0,5","8,695361","15,62718","2,012656","1,53495","0,633952","2,718391","5,157645","0,444918","0,528716","0,292623","6,735085","100,45118","6,689171","2,564784","0,388839","6,132773","2,5112","1,120319","1,259112","0,295024","9,243319","17,146034","1,259676","1,721051","0,496411"
2,"0,625","7,761765","17,04232","1,977684","1,849621","0,800073","2,775507","5,115968","0,562062","0,475028","0,275328","6,381266","108,627831","7,936769","2,948884","0,415989","5,026303","2,600611","0,995407","1,433842","0,314082","8,686396","19,348619","1,412798","1,795485","0,500325"
2,"0,75","7,017881","16,936052","2,244383","2,228333","0,983509","2,89703","4,574193","0,729411","0,453237","0,246634","5,87387","103,843681","8,961257","3,241014","0,438859","3,744651","2,627826","1,048721","1,565091","0,336916","7,737057","19,383121","1,858722","1,915883","0,510427"
2,"0,875","6,616177","15,334243","2,913477","2,577305","1,140099","2,993029","3,744738","1,00883","0,456841","0,219398","5,245964","87,494675","9,640157","3,379624","0,457003","2,57189","2,582413","1,27624","1,598049","0,359604","6,615934","17,257452","2,62113","1,99428","0,528464"
2,1,"6,221149","12,681253","3,947127","2,784711","1,233971","2,953558","2,908355","1,436834","0,470008","0,20463","4,462402","64,643204","10,116339","3,317847","0,470252","1,730917","2,455053","1,607188","1,520146","0,379165","5,380717","13,691652","3,626537","1,959098","0,556524"
2,"1,125","5,904838","9,681683","5,138547","2,768532","1,252777","2,730138","2,304875","1,991229","0,478182","0,206034","3,623166","41,757626","10,657318","3,051046","0,477998","1,248768","2,249141","1,933676","1,360025","0,392108","4,226332","9,803034","4,701277","1,789457","0,598095"
2,"1,25","5,189377","7,076359","6,233801","2,550667","1,210001","2,361392","2,045868","2,580486","0,479535","0,218934","2,873551","23,984097","11,475752","2,627339","0,478438","0,982013","2,014129","2,175618","1,168992","0,395414","3,155269","6,648325","5,683842","1,541354","0,658249"
2,"1,375","4,380041","5,400875","7,061996","2,264877","1,135456","1,997904","2,102899","3,055714","0,491561","0,234652","2,522759","13,367654","12,446296","2,140411","0,468524","0,91671","1,9306","2,327447","1,007205","0,388565","2,38192","4,911009","6,503609","1,33449","0,737755"
2,"1,5","3,623708","4,957541","7,580428","2,094404","1,062798","1,82562","2,373057","3,27467","0,534002","0,246449","2,746499","8,818997","13,119606","1,714352","0,450909","1,017916","2,385555","2,420778","0,915069","0,373726","1,894001","4,999633","7,10348","1,288883","0,825895"
2,"1,625","3,054451","5,965023","7,85141","2,173268","1,014742","1,972815","2,736641","3,162924","0,61136","0,251211","3,602828","7,601856","12,936353","1,461382","0,43681","1,238607","3,899722","2,517034","0,897697","0,357684","1,662238","7,30341","7,445082","1,447392","0,900789"
