sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
2,"3,75","8,144101","3,258663","1,462163","0,865812","0,38174","0,947622","1,000439","0,398581","0,443357","0,172655","4,314029","1,524571","1,058613","0,493374","0,219477","1,396233","2,671725","1,710562","0,920495","0,349668","4,523708","2,981753","1,343492","0,840975","0,323685"
2,"3,875","5,349021","2,520153","1,495136","0,83143","0,385863","1,046405","0,834585","0,421785","0,409947","0,175591","3,142478","1,362243","0,992724","0,409699","0,190587","1,213724","2,589782","1,582526","0,871787","0,31746","2,312443","2,918941","1,434507","0,755416","0,311361"
2,4,"4,056039","1,962947","1,557945","0,834879","0,415406","1,246331","0,747833","0,501747","0,367546","0,182202","2,817416","1,491383","1,021921","0,41777","0,175402","1,093152","2,409839","1,56771","0,842414","0,298439","2,006503","2,835701","1,586018","0,700365","0,313168"
2,"4,125","3,752218","1,753249","1,629359","0,888084","0,452174","1,488471","0,774709","0,644387","0,332297","0,184842","3,081539","1,792719","1,09737","0,474372","0,177563","1,201009","2,314589","1,661762","0,880034","0,293178","2,497413","2,786599","1,777386","0,712815","0,317775"
2,"4,25","4,052737","1,942801","1,667916","0,977035","0,47543","1,688084","0,914003","0,81932","0,314577","0,178939","3,513358","2,162238","1,182698","0,556568","0,195033","1,460676","2,433653","1,802693","1,003295","0,297744","3,074414","2,829594","1,950335","0,799982","0,31493"
2,"4,375","4,323714","2,412596","1,645858","1,071067","0,473459","1,7638","1,120139","0,972986","0,314527","0,164226","3,865907","2,526616","1,23599","0,655245","0,221627","1,895085","2,75305","1,899316","1,177912","0,305481","3,63392","2,959547","2,040617","0,933065","0,302562"
2,"4,5","5,222693","2,929655","1,570907","1,141645","0,447445","1,694973","1,318788","1,055087","0,322174","0,14442","3,912747","2,801811","1,232488","0,756061","0,248607","2,288385","3,120505","1,87961","1,327628","0,309998","4,012599","3,128453","1,992477","1,070631","0,286879"
2,"4,625","5,88527","3,321782","1,479276","1,176738","0,409605","1,481199","1,455679","1,035676","0,326818","0,125337","3,613477","2,983307","1,167166","0,84257","0,269081","2,486397","3,341607","1,739472","1,383442","0,308138","4,013846","3,279117","1,811824","1,187413","0,276177"
2,"4,75","6,470721","3,480362","1,41571","1,175121","0,374122","1,222544","1,510922","0,934564","0,321712","0,112085","3,1936","3,160726","1,070556","0,908205","0,280788","2,469546","3,28219","1,541888","1,315966","0,300398","3,92082","3,350752","1,573972","1,271172","0,274781"
2,"4,875","7,159676","3,401412","1,404039","1,136079","0,349692","1,026383","1,49854","0,809002","0,307484","0,108252","2,965826","3,404287","0,974115","0,950936","0,286232","2,331649","2,924077","1,35222","1,140382","0,288342","4,209007","3,337456","1,396101","1,311219","0,28195"
2,5,"8,173947","3,168976","1,425743","1,070282","0,341863","1,029019","1,453244","0,71717","0,294922","0,117439","3,211688","3,714128","0,898169","0,969789","0,291453","2,392388","2,41581","1,206209","0,915183","0,275396","5,507871","3,346982","1,396479","1,312535","0,297317"
