sujeto ,tiempo,"POW,AF3,Theta","POW,AF3,Alpha","POW,AF3,BetaL","POW,AF3,BetaH","POW,AF3,Gamma","POW,T7,Theta","POW,T7,Alpha","POW,T7,BetaL","POW,T7,BetaH","POW,T7,Gamma","POW,Pz,Theta","POW,Pz,Alpha","POW,Pz,BetaL","POW,Pz,BetaH","POW,Pz,Gamma","POW,T8,Theta","POW,T8,Alpha","POW,T8,BetaL","POW,T8,BetaH","POW,T8,Gamma","POW,AF4,Theta","POW,AF4,Alpha","POW,AF4,BetaL","POW,AF4,BetaH","POW,AF4,Gamma"
2,"0,5","5,180622","1,775519","1,256025","0,977011","0,559383","2,959635","1,874989","1,521534","0,312176","0,401589","3,266155","11,765849","2,885987","0,868178","0,423292","8,943401","2,060285","2,016119","0,373824","0,634962","10,235247","2,2245","1,844638","0,79232","0,728842"
2,"0,625","5,929255","1,491261","1,056188","0,980926","0,574513","2,992189","1,909453","1,457764","0,407252","0,37889","4,067325","17,914257","3,243818","0,957125","0,446122","9,196559","2,278157","2,486242","0,361706","0,652215","11,706203","1,850527","1,916963","0,838499","0,703944"
2,"0,75","6,775432","1,684591","0,879035","1,092399","0,60754","2,826903","1,944401","1,290456","0,54598","0,380633","4,962074","28,170788","3,718891","1,101817","0,512847","8,482","2,725786","2,908017","0,403004","0,717147","12,412467","2,073957","2,00046","1,00619","0,681599"
2,"0,875","7,471782","2,509082","0,743596","1,231364","0,64846","2,583344","2,044379","1,090486","0,698285","0,399769","5,872187","41,824043","4,116813","1,260742","0,607737","7,024312","3,406292","3,145835","0,482049","0,806419","11,924","3,123676","2,052647","1,220013","0,665212"
2,1,"8,014341","3,941302","0,688862","1,330359","0,681032","2,427441","2,312049","0,940702","0,833723","0,426445","6,719647","56,999542","4,288677","1,37879","0,705721","5,418244","4,302898","3,128089","0,580098","0,891636","10,693339","4,969794","2,085809","1,407785","0,654484"
2,"1,125","8,002021","5,748565","0,755837","1,356283","0,694623","2,354836","2,785912","0,896497","0,928945","0,451328","7,434406","71,084129","4,212167","1,431709","0,781143","4,122799","5,34266","2,871014","0,678177","0,94903","8,903552","7,264602","2,152886","1,529539","0,650372"
2,"1,25","7,556142","7,533524","0,935893","1,308793","0,697084","2,341401","3,382881","0,964238","0,97469","0,47396","7,724961","81,41967","3,989804","1,459309","0,819909","3,425447","6,419784","2,439204","0,767304","0,970278","7,243456","9,457793","2,288642","1,574586","0,660845"
2,"1,375","6,572573","8,88291","1,16645","1,216256","0,71677","2,26088","3,910848","1,103948","0,975197","0,504168","7,586854","86,511742","3,647659","1,554355","0,827232","3,234788","7,388303","1,941677","0,84765","0,96802","5,805779","11,051582","2,467599","1,557743","0,702742"
2,"1,5","5,353517","9,665144","1,37616","1,111328","0,782823","2,124392","4,154479","1,250271","0,944284","0,552316","7,198438","86,707695","3,208986","1,810693","0,821075","3,299333","8,120488","1,490805","0,930359","0,966538","4,798892","11,961942","2,624892","1,498449","0,790235"
2,"1,625","4,195256","10,178751","1,563505","1,016501","0,900615","1,948013","3,986244","1,343115","0,894132","0,618074","6,907207","83,74498","2,751617","2,251808","0,81806","3,434629","8,579736","1,15815","1,030644","0,983935","4,295325","12,609797","2,739606","1,408798","0,920386"
2,"1,75","3,509072","10,861309","1,789005","0,936329","1,040591","1,830041","3,432735","1,355036","0,830703","0,68662","7,066103","79,75071","2,471079","2,79495","0,82235","3,634891","8,796891","0,99741","1,170159","1,0198","4,580543","13,603787","2,841896","1,293956","1,067859"
2,"1,875","3,611414","11,913705","2,107617","0,858447","1,149329","1,811078","2,659184","1,293918","0,757122","0,735488","7,839334","75,971352","2,682628","3,279478","0,824071","3,975646","8,799606","1,097908","1,356563","1,055174","5,959363","15,245564","2,97848","1,155574","1,191523"
2,2,"4,433652","13,091098","2,50466","0,765744","1,17629","1,86787","1,912898","1,185409","0,680653","0,747977","9,054579","72,129837","3,636122","3,529033","0,806877","4,50697","8,545774","1,530854","1,573176","1,063708","8,286592","17,221479","3,173728","0,999534","1,249868"
2,"2,125","5,472577","13,780941","2,888144","0,652286","1,099928","1,921307","1,39168","1,077511","0,620651","0,727714","10,214212","66,85556","5,337913","3,442114","0,75877","5,129209","7,930271","2,312862","1,777042","1,024737","10,878591","18,666864","3,410094","0,842171","1,220766"
2,"2,25","6,239272","13,356246","3,146693","0,542621","0,940357","1,888675","1,163419","1,039207","0,599261","0,699434","10,767187","58,809811","7,445307","3,038205","0,681836","5,628748","6,906794","3,309652","1,912232","0,939194","12,833474","18,670147","3,624389","0,712349","1,114651"
